"INSEE_COM","STATUT","POPULATION","TX_LOG_SEC","TYPO_LOG_SEC","POP_CHOM","POP_ACT","POP_OCC","TX_CHOM"
"31001","Commune simple",115,28.169014084507,"forte",8,55,47,14.5454545454545
"31002","Commune simple",250,8.16944756463101,"moyenne",9.036293853492,120.481853073255,111.445559219763,7.5001285446679
"31003","Commune simple",1256,1.18386897063508,"faible",51.6005505944333,703.120862984345,651.520312389912,7.3387881530664
"31004","Commune simple",2641,0.845070422535211,"faible",97,1354,1257,7.16395864106352
"31005","Commune simple",315,20.3622232532029,"forte",20.2195945945946,135.152027027027,114.932432432433,14.9606299212598
"31006","Commune simple",210,0,"faible",1.02439024390244,106.536585365854,105.512195121951,0.961538461538461
"31007","Commune simple",67,22.478527607362,"forte",4,31,27,12.9032258064516
"31008","Commune simple",240,14.7291981482814,"moyenne",14.8760330578512,92.2314049586777,77.3553719008265,16.1290322580645
"31009","Commune simple",130,40.0228461252846,"forte",6.92585446232588,35.6561879090397,28.7303334467138,19.4239902481836
"31010","Commune simple",113,33.4933625467199,"forte",3.08181818181819,52.3909090909092,49.309090909091,5.88235294117647
"31011","Commune simple",262,45.7831325301205,"forte",18,93,75,19.3548387096774
"31012","Commune simple",100,46.2498377323568,"forte",4.08163265306124,33.6734693877552,29.591836734694,12.1212121212121
"31013","Commune simple",362,13.1722105620217,"moyenne",21.8791208791209,157.131868131868,135.252747252747,13.9240506329114
"31014","Commune simple",71,60.6347731468464,"forte",0,23.3285714285713,23.3285714285713,0
"31015","Commune simple",25,80.3928224154838,"forte",0,9.09090909090912,9.09090909090912,0
"31017","Commune simple",99,56.8,"forte",4,46,42,8.69565217391304
"31018","Commune simple",232,6.92307692307692,"moyenne",12,99,87,12.1212121212121
"31019","Commune simple",29,68.6947988223748,"forte",1.03571428571429,15.5357142857144,14.5000000000001,6.66666666666667
"31020","Commune simple",889,21.2080536912752,"forte",72,371,299,19.4070080862534
"31021","Commune simple",139,11.4296008070327,"moyenne",5.2651515151515,70.5530303030301,65.2878787878786,7.46268656716418
"31022","Commune simple",8413,0.753968187406835,"faible",568.534250598053,4692.20005664154,4123.66580604348,12.1165816404892
"31023","Commune simple",312,18.4100418410048,"forte",14.6439868783992,117.325393677667,102.681406799267,12.4815152281793
"31024","Commune simple",429,2.66596141647294,"moyenne",11.1050119331753,195.852028639637,184.747016706461,5.6701030927835
"31025","Commune simple",875,0.890297273050914,"faible",15.5728587319244,428.25361512792,412.680756395996,3.63636363636364
"31026","Commune simple",1035,5.86266123328951,"moyenne",58.5605561119474,488.74970051336,430.189144401412,11.9817068021603
"31027","Commune simple",207,3.49359507569456,"moyenne",7.88571428571429,107.442857142857,99.5571428571429,7.3394495412844
"31028","Commune simple",1200,12.6178387611999,"moyenne",54.521839287027,423.786951752838,369.265112465811,12.8653888614356
"31029","Commune simple",330,2.92807266824281,"moyenne",3.1230283911672,176.971608832808,173.848580441641,1.76470588235294
"31030","Commune simple",72,15.3846153846154,"moyenne",9,37,28,24.3243243243243
